500 4000000
236 30 A                
490 32 B                
321 67 A                
154 55 B                
136 23 A                
199 63 B                
131 29 A                
229 28 A                
59 32 B             
345 50 A                
182 32 B                
135 28 B                
375 14 A                
255 25 A                
369 65 B                
294 15 B                
110 52 B                
412 27 A                
288 55 A                
350 31 A                
302 14 A                
91 17 A             
153 69 A                
76 59 B             
408 15 A                
274 22 B                
416 41 B                
92 26 B             
266 29 B                
307 59 A                
98 53 B             
372 62 A                
297 64 B                
217 22 A                
419 64 A                
391 33 B                
91 61 B             
349 32 B                
452 34 B                
187 54 A                
163 13 B                
308 16 B                
305 32 A                
146 31 A                
322 31 B                
407 64 A                
157 57 A                
477 56 A                
255 47 B                
188 44 A                
309 10 A                
173 41 A                
349 31 A                
78 46 B             
80 23 B             
228 55 B                
457 32 B                
480 42 B                
276 23 A                
368 64 A                
106 13 B                
219 50 B                
278 56 A                
370 52 A                
191 37 A                
317 43 B                
378 16 A                
235 34 B                
57 44 B             
486 12 A                
281 41 A                
435 40 A                
81 56 A             
99 62 B             
139 57 A                
482 58 A                
230 42 A                
239 18 A                
433 35 A                
168 30 B                
162 36 B                
344 52 A                
469 29 A                
149 31 A                
319 57 A                
125 61 A                
495 45 A                
311 26 B                
210 65 A                
394 31 B                
233 18 B                
220 39 A                
255 34 B                
483 59 A                
324 65 B                
398 49 B                
173 12 B                
378 65 B                
418 23 A                
406 10 A                
476 40 B                
109 37 B                
433 40 B                
266 16 A                
340 50 A                
177 51 B                
347 36 B                
394 43 B                
340 45 A                
282 57 B                
402 20 A                
122 41 B                
224 47 A                
401 52 B                
465 69 B                
184 20 B                
122 17 B                
143 70 B                
190 19 A                
311 68 B                
280 66 A                
118 17 B                
435 18 A                
185 31 A                
281 28 B                
267 69 A                
431 26 A                
278 44 A                
52 65 A             
265 58 B                
58 55 B             
358 35 B                
83 50 A             
409 59 B                
198 27 B                
202 40 A                
454 61 A                
454 39 A                
468 52 B                
451 63 B                
105 33 A                
142 61 B                
486 20 B                
431 59 A                
52 17 B             
177 11 B                
195 39 A                
69 64 A             
430 34 B                
246 38 B                
297 36 B                
472 66 A                
407 62 B                
409 56 B                
218 19 B                
363 65 A                
66 17 B             
424 58 A                
167 38 B                
448 21 B                
410 22 A                
85 48 A             
252 45 B                
320 59 A                
268 50 B                
284 21 A                
430 13 A                
446 36 B                
358 35 A                
294 67 A                
157 32 B                
150 24 B                
483 45 A                
181 15 B                
466 16 B                
206 11 A                
238 17 A                
294 70 A                
106 68 B                
455 33 A                
399 59 B                
164 54 B                
427 61 A                
218 44 A                
309 43 B                
59 53 A             
172 52 A                
376 51 B                
133 60 B                
256 34 B                
464 31 A                
382 23 B                
51 54 B             
342 53 A                
270 55 B                
252 63 A                
274 68 B                
265 42 A                
234 29 B                
308 53 B                
216 15 A                
281 47 A                
75 23 A             
441 62 B                
325 48 B                
157 11 A                
346 31 B                
267 29 B                
362 34 B                
